Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,N/A,All Events,N/A,N/A,30000,49,612.245,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,SSC-H,27364,49,558.449,91.213,91.213,555739,152194,542493,143068,408562,134129,151153.87,49228.60,27.20,32.35,171395.23,42271.15,31.59,29.55
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12078,49,246.490,40.260,100.000,479331,505348,468002,491238,447469,421005,105050.70,126211.38,21.92,24.98,112830.31,139769.15,24.11,28.45
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-A,12078,49,246.490,40.260,40.260,479331,505348,468002,491238,447469,421005,105050.70,126211.38,21.92,24.98,112830.31,139769.15,24.11,28.45
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,CTA1-GFP,BL1-H,,12078,49,246.490,40.260,40.260,8118,N/A,7664,N/A,8535,N/A,3508.50,N/A,43.22,N/A,2968.91,N/A,38.74,N/A
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,single cell,FSC-H,FSC-W,12078,49,246.490,40.260,44.138,479331,87,468002,87,447469,86,105050.70,6.75,21.92,7.72,112830.31,7.41,24.11,8.52
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH298.fcs,CTA1-GFP-yH298,Experiment,None,,cell,FSC-H,FSC-W,27364,49,558.449,91.213,91.213,555739,113,542493,99,408562,86,151153.87,50.40,27.20,44.45,171395.23,19.27,31.59,19.47
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,N/A,All Events,N/A,N/A,30000,51,588.235,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,SSC-H,27823,51,545.549,92.743,92.743,541101,149784,522641,140680,437250,130081,151621.95,49447.34,28.02,33.01,166656.10,41622.51,31.89,29.59
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12986,51,254.627,43.287,99.992,470202,495569,459432,482787,431092,416594,104674.64,125636.56,22.26,25.35,109478.89,137063.40,23.83,28.39
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,single cell,FSC-H,FSC-A,12987,51,254.647,43.290,43.290,470225,495600,459453,482800,431092,416594,104703.31,125681.81,22.27,25.36,109533.00,137066.37,23.84,28.39
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,CTA1-GFP,BL1-H,,12986,51,254.627,43.287,43.287,8528,N/A,8136,N/A,8680,N/A,3555.09,N/A,41.69,N/A,3069.72,N/A,37.73,N/A
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,single cell,FSC-H,FSC-W,12987,51,254.647,43.290,46.677,470225,87,459453,87,431092,86,104703.31,6.69,22.27,7.67,109533.00,7.41,23.84,8.52
NA,OL-0Pi-TS-R3,30min-0Pi,CTA1-GFP-yH299.fcs,CTA1-GFP-yH299,Experiment,None,,cell,FSC-H,FSC-W,27823,51,545.549,92.743,92.743,541101,112,522641,97,437250,86,151621.95,50.63,28.02,45.19,166656.10,17.79,31.89,18.34
NA,OL-0Pi-TS-R3,30min-0Pi,yH352-4OL.fcs,yH352-4OL,Experiment,None,N/A,All Events,N/A,N/A,30000,53,566.038,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-0Pi-TS-R3,30min-0Pi,yH352-4OL.fcs,yH352-4OL,Experiment,None,,cell,FSC-H,SSC-H,27569,53,520.170,91.897,91.897,550155,149279,534005,140483,433035,136179,152651.06,49052.91,27.75,32.86,168983.78,41122.88,31.64,29.27
NA,OL-0Pi-TS-R3,30min-0Pi,yH352-4OL.fcs,yH352-4OL,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12557,53,236.925,41.857,99.984,477613,503314,466627,490179,433111,410615,105813.89,127761.46,22.15,25.38,111236.51,137791.36,23.84,28.11
NA,OL-0Pi-TS-R3,30min-0Pi,yH352-4OL.fcs,yH352-4OL,Experiment,None,,single cell,FSC-H,FSC-A,12559,53,236.962,41.863,41.863,477631,503365,466629,490181,433111,410615,105815.44,127815.73,22.15,25.39,111246.89,137865.49,23.84,28.13
NA,OL-0Pi-TS-R3,30min-0Pi,yH352-4OL.fcs,yH352-4OL,Experiment,None,,CTA1-GFP,BL1-H,,12557,53,236.925,41.857,41.857,7242,N/A,6935,N/A,7130,N/A,2831.52,N/A,39.10,N/A,2406.26,N/A,34.70,N/A
NA,OL-0Pi-TS-R3,30min-0Pi,yH352-4OL.fcs,yH352-4OL,Experiment,None,,single cell,FSC-H,FSC-W,12559,53,236.962,41.863,45.555,477631,87,466629,87,433111,86,105815.44,6.81,22.15,7.81,111246.89,7.41,23.84,8.52
NA,OL-0Pi-TS-R3,30min-0Pi,yH352-4OL.fcs,yH352-4OL,Experiment,None,,cell,FSC-H,FSC-W,27569,53,520.170,91.897,91.897,550155,112,534005,98,433035,86,152651.06,49.88,27.75,44.49,168983.78,19.27,31.64,19.67
NA,OL-0Pi-TS-R3,30min-0Pi,yH335-4OL.fcs,yH335-4OL,Experiment,None,N/A,All Events,N/A,N/A,30000,47,638.298,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,OL-0Pi-TS-R3,30min-0Pi,yH335-4OL.fcs,yH335-4OL,Experiment,None,,cell,FSC-H,SSC-H,27346,47,581.830,91.153,91.153,557069,150556,541493,141140,439265,130071,154611.06,49503.10,27.75,32.88,173856.34,42111.77,32.11,29.84
NA,OL-0Pi-TS-R3,30min-0Pi,yH335-4OL.fcs,yH335-4OL,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12144,47,258.383,40.480,100.000,480712,506391,470815,494302,423024,468042,106194.59,127900.90,22.09,25.26,112538.97,141197.63,23.90,28.57
NA,OL-0Pi-TS-R3,30min-0Pi,yH335-4OL.fcs,yH335-4OL,Experiment,None,,single cell,FSC-H,FSC-A,12144,47,258.383,40.480,40.480,480712,506391,470815,494302,423024,468042,106194.59,127900.90,22.09,25.26,112538.97,141197.63,23.90,28.57
NA,OL-0Pi-TS-R3,30min-0Pi,yH335-4OL.fcs,yH335-4OL,Experiment,None,,CTA1-GFP,BL1-H,,12144,47,258.383,40.480,40.480,7568,N/A,7179,N/A,8835,N/A,2840.50,N/A,37.53,N/A,2413.67,N/A,33.62,N/A
